ano;regiao;estado;estacao;qtd
2010;CO;DF;BRASILIA;8760
2010;CO;DF;AGUAS EMENDADAS;8760
2010;CO;GO;GOIANIA;8760
2010;CO;GO;MORRINHOS;8760
2010;CO;GO;SAO SIMAO;8760
2010;CO;GO;LUZIANIA;8760
2010;CO;GO;ARAGARCAS;8760
2010;CO;GO;GOIAS;8760
2010;CO;GO;ITAPACI;8760
2010;CO;GO;JATAI;8760
2010;CO;GO;POSSE;8760
2010;CO;GO;GOIANESIA;8760
2010;CO;GO;CAIAPONIA;8760
2010;CO;GO;ALTO PARAISO DE GOIAS;8760
2010;CO;GO;RIO VERDE;8760
2010;CO;GO;MINEIROS;8760
2010;CO;GO;PARAUNA;8760
2010;CO;GO;MONTE ALEGRE DE GOIAS;8760
2010;CO;GO;PIRES DO RIO;8760
2010;CO;GO;CATALAO;8760
2010;CO;GO;ITUMBIARA;8760
2010;CO;GO;CRISTALINA;8760
2010;CO;GO;SILVANIA;2040
2010;CO;MS;CAMPO GRANDE;8760
2010;CO;MS;PONTA PORA;8760
2010;CO;MS;TRES LAGOAS;8760
2010;CO;MS;IVINHEMA;8760
2010;CO;MS;PARANAIBA;8760
2010;CO;MS;NHUMIRIM;8760
2010;CO;MS;AQUIDAUANA;8760
2010;CO;MS;COXIM;8760
2010;CO;MS;DOURADOS;8760
2010;CO;MS;MIRANDA;8760
2010;CO;MS;PORTO MURTINHO;8760
2010;CO;MS;CORUMBA;8760
2010;CO;MS;CHAPADAO DO SUL;8760
2010;CO;MS;MARACAJU;8760
2010;CO;MS;SAO GABRIEL DO OESTE;8760
2010;CO;MS;CASSILANDIA;8760
2010;CO;MS;RIO BRILHANTE;8760
2010;CO;MS;JUTI;8760
2010;CO;MS;AMAMBAI;8760
2010;CO;MS;SETE QUEDAS;8760
2010;CO;MS;ITAQUIRAI;8760
2010;CO;MS;SIDROLANDIA;8760
2010;CO;MS;AGUA CLARA;3360
2010;CO;MT;CUIABA;8760
2010;CO;MT;TANGARA DA SERRA;8760
2010;CO;MT;S.J. DO RIO CLARO;8760
2010;CO;MT;SORRISO;8760
2010;CO;MT;CAMPO NOVO DOS PARECIS;8760
