"","ano","regiao","estado","estacao","qtd","variavel","min","max","zerados"
"1","2018","CO","DF","BRASILIA","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","45.6","8181"
"2","2018","CO","DF","BRASILIA","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","878.5","894.8","525"
"3","2018","CO","DF","BRASILIA","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","879.1","894.9","700"
"4","2018","CO","DF","BRASILIA","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","878.5","894.6","692"
"5","2018","CO","DF","BRASILIA","8760","RADIACAO.GLOBAL..KJ.m..","0","4102.6","3715"
"6","2018","CO","DF","BRASILIA","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","10.2","32.9","451"
"7","2018","CO","DF","BRASILIA","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-2.6","20.8","777"
"8","2018","CO","DF","BRASILIA","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","10.9","33.6","528"
"9","2018","CO","DF","BRASILIA","8760","TEMPERATURA.MINIMA.NA.HORA.ANT...AUT....C.","9.3","32.6","601"
"10","2018","CO","DF","BRASILIA","8760","TEMPERATURA.ORVALHO.MAX..NA.HORA.ANT...AUT....C.","-1.9","21.4","993"
"11","2018","CO","DF","BRASILIA","8760","TEMPERATURA.ORVALHO.MIN..NA.HORA.ANT...AUT....C.","-2.9","19.7","1085"
"12","2018","CO","DF","BRASILIA","8760","UMIDADE.REL..MAX..NA.HORA.ANT...AUT.....","15","95","1466"
"13","2018","CO","DF","BRASILIA","8760","UMIDADE.REL..MIN..NA.HORA.ANT...AUT.....","13","95","1175"
"14","2018","CO","DF","BRASILIA","8760","UMIDADE.RELATIVA.DO.AR..HORARIA....","13","95","1087"
"15","2018","CO","DF","BRASILIA","8760","VENTO..DIRECAO.HORARIA..gr......gr..","1","360","221"
"16","2018","CO","DF","BRASILIA","8760","VENTO..RAJADA.MAXIMA..m.s.","0.6","17.9","897"
"17","2018","CO","DF","BRASILIA","8760","VENTO..VELOCIDADE.HORARIA..m.s.","0.1","7.1","584"
"18","2018","CO","DF","BRAZLANDIA","8760","PRECIPITACAO.TOTAL..HORARIO..mm.","0","48.4","8106"
"19","2018","CO","DF","BRAZLANDIA","8760","PRESSAO.ATMOSFERICA.AO.NIVEL.DA.ESTACAO..HORARIA..mB.","880.3","895.8","525"
"20","2018","CO","DF","BRAZLANDIA","8760","PRESSAO.ATMOSFERICA.MAX.NA.HORA.ANT...AUT...mB.","880.8","895.9","727"
"21","2018","CO","DF","BRAZLANDIA","8760","PRESSAO.ATMOSFERICA.MIN..NA.HORA.ANT...AUT...mB.","880.3","895.7","732"
"22","2018","CO","DF","BRAZLANDIA","8760","RADIACAO.GLOBAL..KJ.m..","0","4482.8","3749"
"23","2018","CO","DF","BRAZLANDIA","8760","TEMPERATURA.DO.AR...BULBO.SECO..HORARIA...C.","11.7","33.4","413"
"24","2018","CO","DF","BRAZLANDIA","8760","TEMPERATURA.DO.PONTO.DE.ORVALHO...C.","-4.7","22","776"
"25","2018","CO","DF","BRAZLANDIA","8760","TEMPERATURA.MAXIMA.NA.HORA.ANT...AUT....C.","12.4","34.2","587"
